,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
 BOA, , CDX.HY-25 5-Year Index 25-35%, , ,5.000,% , , ,12/20/2020, , ,$,"  15,000", , ,$,65, , ,$,"2,052", , ,$,"2,117", , ,$,0, 
CBK, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,"10,600", , , ,"1,007", , , ,358, , , ,"1,365", , , ,0, 
DUB, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"1,800", , , ,(162,) , , ,61, , , ,0, , , ,(101,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"2,200", , , ,(216,) , , ,93, , , ,0, , , ,(123,) 
GST, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,"8,900", , , ,729, , , ,417, , , ,"1,146", , , ,0, 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"16,400", , , ,"(1,681",) , , ,760, , , ,0, , , ,(921,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"41,600", , , ,"(6,821",) , , ,"1,389", , , ,0, , , ,"(5,432",) 
JPM, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,"2,050", , , ,196, , , ,68, , , ,264, , , ,0, 
JPS, , CMBX.NA.BB.6 Index, , ,5.000, , , ,05/11/2063, , , ,"7,000", , , ,(993,) , , ,75, , , ,0, , , ,(918,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"3,500", , , ,(308,) , , ,112, , , ,0, , , ,(196,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"10,000", , , ,"(1,733",) , , ,427, , , ,0, , , ,"(1,306",) 
MEI, , CMBX.NA.BB.6 Index, , ,5.000, , , ,05/11/2063, , , ,"5,350", , , ,(752,) , , ,50, , , ,0, , , ,(702,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"1,800", , , ,(160,) , , ,59, , , ,0, , , ,(101,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"4,400", , , ,(479,) , , ,232, , , ,0, , , ,(247,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"20,000", , , ,"(3,452",) , , ,840, , , ,0, , , ,"(2,612",) 
MYC, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"9,200", , , ,(758,) , , ,242, , , ,0, , , ,(516,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"39,700", , , ,"(3,491",) , , ,"1,263", , , ,0, , , ,"(2,228",) 
, , MCDX-24 10-Year Index, , ,1.000, , , ,06/20/2025, , , ,"11,100", , , ,(327,) , , ,365, , , ,38, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,"  (19,336",) , ,$,"  8,863", , ,$,"  4,930", , ,$,"  (15,403",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
