,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed(Pay) Rate, , ,MaturityDate, , ,"Implied CreditSpread atDecember 31, 
2016 (4)", , ,NotionalAmount (5), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, ," Agrium, Inc.", , ,(1.250,)% , , ,03/20/2019, , , ,0.408,% , ,$,"4,000", , ,$,0, , ,$,(76,) , ,$,0, , ,$,(76,) 
, , ING Bank NV, , ,(1.000,) , , ,12/20/2021, , , ,1.497, , ,EUR,"  5,500", , , ,155, , , ,(17,) , , ,138, , , ,0, 
BPS, , HSBC Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.319, , , ,"8,500", , , ,105, , , ,18, , , ,123, , , ,0, 
, , ING Bank NV, , ,(1.000,) , , ,12/20/2021, , , ,1.497, , , ,"5,100", , , ,185, , , ,(57,) , , ,128, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,0.609, , , ,"9,900", , , ,(159,) , , ,(47,) , , ,0, , , ,(206,) 
CBK, , HSBC Bank PLC, , ,(1.000,) , , ,12/20/2021, , , ,1.425, , , ,"5,400", , , ,138, , , ,(22,) , , ,116, , , ,0, 
, , Intesa Sanpaolo SpA, , ,(1.000,) , , ,09/20/2024, , , ,3.120, , ,$,"7,300", , , ,"1,194", , , ,(208,) , , ,986, , , ,0, 
, , Intesa Sanpaolo SpA, , ,(1.000,) , , ,03/20/2026, , , ,3.201, , , ,"6,200", , , ,"1,008", , , ,(19,) , , ,989, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,1.473, , ,EUR,"  5,000", , , ,184, , , ,(65,) , , ,119, , , ,0, 
FBF, , Lloyds Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.343, , , ,"5,000", , , ,155, , , ,(77,) , , ,78, , , ,0, 
GST, , SABMiller PLC, , ,(1.000,) , , ,01/20/2022, , , ,0.334, , ,$,"2,400", , , ,(57,) , , ,(26,) , , ,0, , , ,(83,) 
, , UBS AG, , ,(1.000,) , , ,06/20/2018, , , ,0.860, , , ,"5,400", , , ,12, , , ,(25,) , , ,0, , , ,(13,) 
JPM, , Intesa Sanpaolo SpA, , ,(1.000,) , , ,09/20/2024, , , ,3.120, , , ,"7,600", , , ,"1,197", , , ,(170,) , , ,"1,027", , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,$,"  4,117", , ,$,  (791,) , ,$,"  3,704", , ,$,  (378,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 

Credit Default Swaps on Corporate and Sovereign Issues - Sell Protection (3), 
,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread atDecember 31, 
2016 (4)", , ,NotionalAmount (5), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , Brazil Government International Bond, , ,1.000,% , , ,03/20/2019, , , ,1.299,% , ,$,300, , ,$,(5,) , ,$,3, , ,$,0, , ,$,(2,) 
, , Brazil Government International Bond, , ,1.000, , , ,09/20/2019, , , ,1.492, , , ,100, , , ,(3,) , , ,1, , , ,0, , , ,(2,) 
, , Lloyds Bank PLC, , ,1.000, , , ,12/20/2021, , , ,0.685, , ,EUR,"  1,900", , , ,23, , , ,9, , , ,32, , , ,0, 
BPS, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2021, , , ,1.132, , , ,"5,400", , , ,(74,) , , ,40, , , ,0, , , ,(34,) 
CBK, , Barclays Bank PLC, , ,1.000, , , ,06/20/2021, , , ,0.767, , , ,"3,500", , , ,0, , , ,40, , , ,40, , , ,0, 
, , Barclays Bank PLC, , ,1.000, , , ,12/20/2021, , , ,0.818, , , ,"4,700", , , ,7, , , ,39, , , ,46, , , ,0, 
, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , ,$,"5,100", , , ,(100,) , , ,69, , , ,0, , , ,(31,) 
, , Lloyds Bank PLC, , ,1.000, , , ,12/20/2021, , , ,0.685, , ,EUR,"  10,000", , , ,123, , , ,45, , , ,168, , , ,0, 
DUB, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , ,$,"20,900", , , ,(393,) , , ,265, , , ,0, , , ,(128,) 
GST, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , , ,"13,100", , , ,(275,) , , ,195, , , ,0, , , ,(80,) 
HUS, , Brazil Government International Bond, , ,1.000, , , ,09/20/2019, , , ,1.492, , , ,"4,600", , , ,(75,) , , ,17, , , ,0, , , ,(58,) 
JPM, , Barclays Bank PLC, , ,1.000, , , ,12/20/2021, , , ,0.818, , ,EUR,"  10,000", , , ,16, , , ,82, , , ,98, , , ,0, 
, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , ,$,"5,100", , , ,(113,) , , ,82, , , ,0, , , ,(31,) 
, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2021, , , ,1.132, , ,EUR,"  6,600", , , ,(94,) , , ,52, , , ,0, , , ,(42,) 
MYC, , Barclays Bank PLC, , ,1.000, , , ,06/20/2021, , , ,0.767, , , ,"4,700", , , ,5, , , ,48, , , ,53, , , ,0, 
, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , ,$,"8,200", , , ,(163,) , , ,113, , , ,0, , , ,(50,) 
, , Brazil Government International Bond, , ,1.000, , , ,09/20/2019, , , ,1.492, , , ,"17,400", , , ,(287,) , , ,67, , , ,0, , , ,(220,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,$,"  (1,408",) , ,$,"  1,167", , ,$,  437, , ,$,  (678,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
