,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (2)", , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , Anheuser-Busch InBev S.A., , ,1.000,% , , ,12/20/2017, , , ,0.312,% , , ,EUR, , , ,"14,900", , ,$,76, , ,$,36, , ,$,112, , ,$,0, 
, , Credit Suisse Group Finance, , ,1.000, , , ,06/20/2017, , , ,0.504, , ,,,, , ,"6,500", , , ,2, , , ,17, , , ,19, , , ,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,,,, , ,400, , , ,(6,) , , ,7, , , ,1, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,09/20/2020, , , ,0.699, , , ,$, , , ,"2,000", , , ,(2,) , , ,24, , , ,22, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2021, , , ,0.893, , ,,,, , ,"9,800", , , ,14, , , ,39, , , ,53, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , ,,,, , ,100, , , ,(5,) , , ,5, , , ,0, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,09/20/2019, , , ,1.081, , ,,,, , ,"30,000", , , ,26, , , ,(79,) , , ,0, , , ,(53,) 
, , Morgan Stanley, , ,1.000, , , ,06/20/2020, , , ,0.660, , ,,,, , ,"26,600", , , ,147, , , ,168, , , ,315, , , ,0, 
, , Santander Issuances S.A.U., , ,1.000, , , ,06/20/2019, , , ,1.810, , , ,EUR, , , ,"10,000", , , ,(204,) , , ,(1,) , , ,0, , , ,(205,) 
BPS, , Barclays Bank PLC, , ,1.000, , , ,06/20/2017, , , ,0.290, , ,,,, , ,"8,300", , , ,0, , , ,33, , , ,33, , , ,0, 
, , BHP Billiton Finance USA Ltd., , ,1.000, , , ,06/20/2021, , , ,0.995, , , ,$, , , ,800, , , ,(21,) , , ,22, , , ,1, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.911, , ,,,, , ,"23,550", , , ,(147,) , , ,231, , , ,84, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,12/20/2020, , , ,0.958, , ,,,, , ,"1,400", , , ,(21,) , , ,24, , , ,3, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , ,,,, , ,"13,100", , , ,(130,) , , ,91, , , ,0, , , ,(39,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,,,, , ,"10,250", , , ,(237,) , , ,33, , , ,0, , , ,(204,) 
, , Credit Suisse Group Finance, , ,1.000, , , ,06/20/2017, , , ,0.504, , , ,EUR, , , ,"3,500", , , ,0, , , ,10, , , ,10, , , ,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,,,, , ,"3,000", , , ,(44,) , , ,47, , , ,3, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,$, , , ,"60,250", , , ,"(1,611",) , , ,106, , , ,0, , , ,"(1,505",) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2019, , , ,3.095, , ,,,, , ,"3,250", , , ,(126,) , , ,(34,) , , ,0, , , ,(160,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,09/20/2019, , , ,3.309, , ,,,, , ,"37,700", , , ,"(1,186",) , , ,"(1,050",) , , ,0, , , ,"(2,236",) 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , ,,,, , ,"6,600", , , ,(444,) , , ,(12,) , , ,0, , , ,(456,) 
, , Petroleos Mexicanos, , ,1.000, , , ,09/20/2020, , , ,2.488, , ,,,, , ,"15,500", , , ,(577,) , , ,(222,) , , ,0, , , ,(799,) 
, , Pioneer Natural Resources Co., , ,1.000, , , ,12/20/2020, , , ,0.781, , ,,,, , ,"5,000", , , ,(367,) , , ,411, , , ,44, , , ,0, 
