,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread atDecember 31, 
2016 (3)", , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , Anheuser-Busch InBev S.A., , ,1.000,% , , ,12/20/2017, , , ,0.312,% , ,EUR,"  33,700", , ,$,171, , ,$,83, , ,$,254, , ,$,0, 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,$,"6,500", , , ,(195,) , , ,66, , , ,0, , , ,(129,) 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , , ,"3,800", , , ,(143,) , , ,33, , , ,0, , , ,(110,) 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,EUR,"1,890", , , ,(26,) , , ,28, , , ,2, , , ,0, 
, , Gazprom OAO Via Gaz Capital S.A., , ,1.000, , , ,06/20/2020, , , ,1.766, , ,$,"6,300", , , ,(664,) , , ,506, , , ,0, , , ,(158,) 
, , Indonesia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.830, , , ,"21,400", , , ,(367,) , , ,463, , , ,96, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.691, , , ,"26,600", , , ,(671,) , , ,862, , , ,191, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2020, , , ,1.403, , , ,"46,910", , , ,"(2,955",) , , ,"2,254", , , ,0, , , ,(701,) 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.795, , , ,"21,600", , , ,(833,) , , ,44, , , ,0, , , ,(789,) 
, , Russia Government International Bond, , ,1.000, , , ,06/20/2024, , , ,2.248, , , ,"37,800", , , ,"(2,993",) , , ,(54,) , , ,0, , , ,"(3,047",) 
, , Russia Government International Bond, , ,1.000, , , ,09/20/2024, , , ,2.270, , , ,"11,600", , , ,(984,) , , ,7, , , ,0, , , ,(977,) 
BPS, , Banco Espirito Santo S.A., , ,5.000, , , ,12/20/2021, , , ,19.064, , ,EUR,"6,000", , , ,"(1,679",) , , ,(383,) , , ,0, , , ,"(2,062",) 
, , Barclays Bank PLC, , ,1.000, , , ,06/20/2017, , , ,0.290, , , ,"10,800", , , ,0, , , ,43, , , ,43, , , ,0, 
, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , ,$,"11,500", , , ,(177,) , , ,107, , , ,0, , , ,(70,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , , ,"7,200", , , ,(213,) , , ,70, , , ,0, , , ,(143,) 
