,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (3)", , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , Korea Government International Bond, , ,1.000,% , , ,09/20/2022, , , ,0.509,% , ,$,"3,200", , ,$,35, , ,$,51, , ,$,86, , ,$,0, 
BPS, , Korea Government International Bond, , ,1.000, , , ,09/20/2022, , , ,0.509, , , ,"1,600", , , ,19, , , ,24, , , ,43, , , ,0, 
DUB, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , , ,"1,700", , , ,(4,) , , ,11, , , ,7, , , ,0, 
GST, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , , ,700, , , ,(1,) , , ,3, , , ,2, , , ,0, 
HUS, , U.S. Treasury Notes, , ,0.250, , , ,06/20/2017, , , ,0.167, , ,EUR,"  6,200", , , ,(1,) , , ,4, , , ,3, , , ,0, 
JPM, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , ,$,"9,600", , , ,(12,) , , ,43, , , ,31, , , ,0, 
MYC, , Korea Government International Bond, , ,1.000, , , ,09/20/2022, , , ,0.509, , , ,500, , , ,6, , , ,8, , , ,14, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , , ,"1,400", , , ,(3,) , , ,9, , , ,6, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,$,  39, , ,$,  153, , ,$,  192, , ,$,  0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
