,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ," Fixed
Receive Rate", , ," Maturity
Date", , ," Implied Credit
Spread at
December 31, 2016 (2)", , ," Notional
Amount (3)", , ," Premiums
Paid/ (Received)", , ," Unrealized
Appreciation/
(Depreciation)", , ,Asset, , ,Liability, 
BOA, ," Goldman Sachs Group, Inc.", , ,1.000,% , , ,12/20/2021, , , ,0.893,% , ,$,"3,200", , ,$,4, , ,$,13, , ,$,17, , ,$,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"4,300", , , ,(99,) , , ,(8,) , , ,0, , , ,(107,) 
BPS, , China Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.911, , , ,"2,900", , , ,(14,) , , ,24, , , ,10, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , , ,"6,500", , , ,(64,) , , ,45, , , ,0, , , ,(19,) 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2021, , , ,0.893, , , ,"13,300", , , ,19, , , ,53, , , ,72, , , ,0, 
, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.560, , , ,900, , , ,(27,) , , ,4, , , ,0, , , ,(23,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2018, , , ,2.166, , , ,"3,000", , , ,(44,) , , ,(5,) , , ,0, , , ,(49,) 
BRC, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.560, , , ,300, , , ,(9,) , , ,1, , , ,0, , , ,(8,) 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2020, , , ,1.214, , , ,"19,500", , , ,20, , , ,(151,) , , ,0, , , ,(131,) 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2020, , , ,1.182, , , ,"3,200", , , ,(43,) , , ,23, , , ,0, , , ,(20,) 
CBK, , Mexico Government International Bond, , ,1.000, , , ,09/20/2020, , , ,1.182, , , ,"3,700", , , ,(48,) , , ,25, , , ,0, , , ,(23,) 
, , Volkswagen International Finance NV, , ,1.000, , , ,12/20/2020, , , ,0.842, , , ,"4,500", , , ,(272,) , , ,301, , , ,29, , , ,0, 
DBL, , Petroleos Mexicanos, , ,1.000, , , ,09/20/2020, , , ,2.488, , , ,"2,000", , , ,(74,) , , ,(29,) , , ,0, , , ,(103,) 
DUB, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.560, , , ,"2,000", , , ,(60,) , , ,9, , , ,0, , , ,(51,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"2,473", , , ,(79,) , , ,17, , , ,0, , , ,(62,) 
, , Morgan Stanley, , ,1.000, , , ,03/20/2021, , , ,0.758, , , ,"5,000", , , ,(24,) , , ,75, , , ,51, , , ,0, 
GST, , Italy Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.366, , , ,"9,400", , , ,(138,) , , ,(2,) , , ,0, , , ,(140,) 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2020, , , ,1.182, , , ,"3,000", , , ,(40,) , , ,22, , , ,0, , , ,(18,) 
, , Morgan Stanley, , ,1.000, , , ,06/20/2020, , , ,0.660, , , ,"3,800", , , ,22, , , ,23, , , ,45, , , ,0, 
, , Petroleos Mexicanos, , ,1.000, , , ,09/20/2020, , , ,2.488, , , ,100, , , ,(4,) , , ,(1,) , , ,0, , , ,(5,) 
HUS, , Brazil Government International Bond, , ,1.000, , , ,09/20/2020, , , ,2.084, , , ,"2,000", , , ,(108,) , , ,32, , , ,0, , , ,(76,) 
, , China Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.911, , , ,650, , , ,0, , , ,2, , , ,2, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , , ,"2,400", , , ,(21,) , , ,14, , , ,0, , , ,(7,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"3,227", , , ,(123,) , , ,42, , , ,0, , , ,(81,) 
