,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , CDX.HY-27 5-Year Index 25-35%, , ,5.000,% , , ,12/20/2021, , ,$,900, , ,$,71, , ,$,45, , ,$,116, , ,$,0, 
CBK, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,700, , , ,57, , , ,33, , , ,90, , , ,0, 
GST, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,"  2,900", , , ,265, , , ,109, , , ,374, , , ,0, 
JPM, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,"1,500", , , ,139, , , ,54, , , ,193, , , ,0, 
MYC, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"1,600", , , ,(267,) , , ,58, , , ,0, , , ,(209,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,  265, , ,$,  299, , ,$,  773, , ,$,  (209,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
