,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed Receive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (3)", , ,NotionalAmount (4), , ,Premiums(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
 CBK, , Brazil Government International Bond, , ,1.000,% , , ,06/20/2021, , , ,2.514,% , ,$,400, , ,$,(32,) , ,$,7, , ,$,0, , ,$,(25,) 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,500, , , ,(11,) , , ,2, , , ,0, , , ,(9,) 
 DUB, , Brazil Government International Bond, , ,1.000, , , ,06/20/2021, , , ,2.514, , , ,800, , , ,(63,) , , ,13, , , ,0, , , ,(50,) 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,"  1,900", , , ,(42,) , , ,10, , , ,0, , , ,(32,) 
 FBF, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,400, , , ,(9,) , , ,2, , , ,0, , , ,(7,) 
 HUS, , Brazil Government International Bond, , ,1.000, , , ,06/20/2021, , , ,2.514, , , ,"5,000", , , ,(323,) , , ,11, , , ,0, , , ,(312,) 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,200, , , ,(5,) , , ,2, , , ,0, , , ,(3,) 
 JPM, , Brazil Government International Bond, , ,1.000, , , ,06/20/2021, , , ,2.514, , , ,500, , , ,(32,) , , ,1, , , ,0, , , ,(31,) 
 NGF, , Russia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.622, , , ,"1,200", , , ,(67,) , , ,36, , , ,0, , , ,(31,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,, ,,,, ,,,, ,,,, ,,,, ,$,  (584,) , ,$,  84, , ,$,  0, , ,$,  (500,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
