,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(5)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , ABX.HE.AAA.6-2 Index, , ,0.110,% , , ,05/25/2046, , ,$,"  18,414", , ,$,"(3,773",) , ,$,"1,333", , ,$,0, , ,$,"(2,440",) 
, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,"2,500", , , ,204, , , ,132, , , ,336, , , ,0, 
CBK, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,"2,500", , , ,204, , , ,132, , , ,336, , , ,0, 
GST, , CDX.IG-9 10-Year Index 30-100%, , ,0.548, , , ,12/20/2017, , , ,289, , , ,0, , , ,2, , , ,2, , , ,0, 
JPM, , CDX.IG-9 10-Year Index 30-100%, , ,0.553, , , ,12/20/2017, , , ,579, , , ,0, , , ,3, , , ,3, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,"  (3,365",) , ,$,"  1,602", , ,$,  677, , ,$,"  (2,440",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
