,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed Receive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (2)", , ,NotionalAmount  (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , Colombia Government International Bond, , ,1.000,% , , ,06/20/2021, , , ,1.480,% , ,$,"9,750", , ,$,(280,) , ,$,86, , ,$,0, , ,$,(194,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , , ,"21,400", , , ,(567,) , , ,612, , , ,45, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,09/20/2019, , , ,1.081, , , ,"60,400", , , ,186, , , ,(292,) , , ,0, , , ,(106,) 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.169, , , ,"29,604", , , ,(62,) , , ,(82,) , , ,0, , , ,(144,) 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2020, , , ,1.214, , , ,"30,950", , , ,10, , , ,(218,) , , ,0, , , ,(208,) 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,"28,300", , , ,(651,) , , ,175, , , ,0, , , ,(476,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"17,700", , , ,(563,) , , ,121, , , ,0, , , ,(442,) 
, , Spain Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.441, , , ,"37,600", , , ,75, , , ,452, , , ,527, , , ,0, 
, , Spain Government International Bond, , ,1.000, , , ,12/20/2019, , , ,0.493, , , ,"50,000", , , ,138, , , ,620, , , ,758, , , ,0, 
BPS, , China Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.911, , , ,"12,850", , , ,(93,) , , ,139, , , ,46, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,12/20/2020, , , ,0.958, , , ,"10,000", , , ,(147,) , , ,167, , , ,20, , , ,0, 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , , ,"9,750", , , ,(248,) , , ,54, , , ,0, , , ,(194,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"11,300", , , ,(349,) , , ,67, , , ,0, , , ,(282,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2018, , , ,2.166, , , ,"33,600", , , ,(489,) , , ,(66,) , , ,0, , , ,(555,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,09/20/2019, , , ,3.309, , , ,"38,000", , , ,"(1,218",) , , ,"(1,036",) , , ,0, , , ,"(2,254",) 
, , Santander Issuances S.A.U., , ,1.000, , , ,12/20/2019, , , ,1.933, , ,EUR,"13,100", , , ,(400,) , , ,28, , , ,0, , , ,(372,) 
, , Spain Government International Bond, , ,1.000, , , ,09/20/2021, , , ,0.691, , ,$,100, , , ,1, , , ,0, , , ,1, , , ,0, 
, , Tesco PLC, , ,1.000, , , ,06/20/2019, , , ,0.992, , ,EUR,"17,300", , , ,(26,) , , ,37, , , ,11, , , ,0, 
BRC, , Brazil Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.764, , ,$,"4,625", , , ,(300,) , , ,192, , , ,0, , , ,(108,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , , ,"31,700", , , ,(865,) , , ,234, , , ,0, , , ,(631,) 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,09/20/2020, , , ,0.699, , , ,"2,000", , , ,4, , , ,18, , , ,22, , , ,0, 
, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.560, , , ,"13,100", , , ,(395,) , , ,62, , , ,0, , , ,(333,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , , ,"10,600", , , ,(301,) , , ,323, , , ,22, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.169, , , ,"14,700", , , ,(16,) , , ,(55,) , , ,0, , , ,(71,) 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2020, , , ,1.214, , , ,"3,600", , , ,4, , , ,(28,) , , ,0, , , ,(24,) 
