,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(5)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , ABX.HE.AAA.6-2 Index, , ,0.110,% , , ,05/25/2046, , ,$,"  36,989", , ,$,"(7,536",) , ,$,"2,636", , ,$,0, , ,$,"(4,900",) 
, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,"2,200", , , ,180, , , ,116, , , ,296, , , ,0, 
CBK, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,"2,200", , , ,179, , , ,117, , , ,296, , , ,0, 
GST, , CDX.IG-9 10-Year Index 30-100%, , ,0.548, , , ,12/20/2017, , , ,675, , , ,0, , , ,3, , , ,3, , , ,0, 
JPM, , CDX.IG-9 10-Year Index 30-100%, , ,0.553, , , ,12/20/2017, , , ,"1,543", , , ,0, , , ,8, , , ,8, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,"  (7,177",) , ,$,"  2,880", , ,$,  603, , ,$,"  (4,900",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
