,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , CDX.HY-25 5-Year Index 25-35%, , ,5.000,% , , ,12/20/2020, , ,$,"2,900", , ,$,59, , ,$,350, , ,$,409, , ,$,0, 
BRC, , iTraxx Japan 26 5-Year Index, , ,1.000, , , ,12/20/2021, , ,JPY,"23,000", , , ,5, , , ,(1,) , , ,4, , , ,0, 
CBK, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , ,$,250, , , ,20, , , ,12, , , ,32, , , ,0, 
, , iTraxx Japan 26 5-Year Index, , ,1.000, , , ,12/20/2021, , ,JPY,"10,000", , , ,2, , , ,0, , , ,2, , , ,0, 
, , MCDX-27 5-Year Index, , ,1.000, , , ,12/20/2021, , ,$,"55,400", , , ,600, , , ,247, , , ,847, , , ,0, 
DUB, , iTraxx Japan 26 5-Year Index, , ,1.000, , , ,12/20/2021, , ,JPY,"48,000", , , ,10, , , ,(1,) , , ,9, , , ,0, 
FBF, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , ,$,"31,000", , , ,"(1,534",) , , ,"1,181", , , ,0, , , ,(353,) 
GST, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,"2,500", , , ,205, , , ,117, , , ,322, , , ,0, 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"2,200", , , ,(111,) , , ,86, , , ,0, , , ,(25,) 
, , CMBX.NA.BB.6 Index, , ,5.000, , , ,05/11/2063, , , ,"4,800", , , ,(693,) , , ,63, , , ,0, , , ,(630,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"  13,600", , , ,"(1,322",) , , ,559, , , ,0, , , ,(763,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,900, , , ,(185,) , , ,68, , , ,0, , , ,(117,) 
, , iTraxx Japan 26 5-Year Index, , ,1.000, , , ,12/20/2021, , ,JPY,"22,000", , , ,5, , , ,(1,) , , ,4, , , ,0, 
JPM, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , ,$,250, , , ,21, , , ,11, , , ,32, , , ,0, 
, , iTraxx Japan 26 5-Year Index, , ,1.000, , , ,12/20/2021, , ,JPY,"67,000", , , ,14, , , ,(1,) , , ,13, , , ,0, 
MEI, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , ,$,"1,600", , , ,(87,) , , ,69, , , ,0, , , ,(18,) 
, , CMBX.NA.BB.6 Index, , ,5.000, , , ,05/11/2063, , , ,"2,400", , , ,(346,) , , ,31, , , ,0, , , ,(315,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"4,300", , , ,(364,) , , ,123, , , ,0, , , ,(241,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"2,700", , , ,(258,) , , ,106, , , ,0, , , ,(152,) 
MYC, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"1,000", , , ,(37,) , , ,15, , , ,0, , , ,(22,) 
, , CMBX.NA.BB.6 Index, , ,5.000, , , ,05/11/2063, , , ,"2,300", , , ,(319,) , , ,17, , , ,0, , , ,(302,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"3,600", , , ,(363,) , , ,161, , , ,0, , , ,(202,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,"  (4,678",) , ,$,"  3,212", , ,$,"  1,674", , ,$,"  (3,140",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
