,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (3)", , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , Argentine Republic Government International Bond, , ,5.000,% , , ,12/20/2021, , , ,4.204,% , ,$,400, , ,$,10, , ,$,5, , ,$,15, , ,$,0, 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , , ,"1,500", , , ,(62,) , , ,19, , , ,0, , , ,(43,) 
, ," New York State General Obligation Bonds, Series 2005", , ,1.850, , , ,03/20/2021, , , ,0.330, , , ,"1,900", , , ,0, , , ,118, , , ,118, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.795, , , ,300, , , ,(12,) , , ,1, , , ,0, , , ,(11,) 
, , Venezuela Government International Bond, , ,5.000, , , ,09/20/2020, , , ,43.415, , , ,700, , , ,(475,) , , ,92, , , ,0, , , ,(383,) 
BPS, , Banco Espirito Santo S.A., , ,5.000, , , ,12/20/2021, , , ,19.064, , ,EUR,  200, , , ,(56,) , , ,(13,) , , ,0, , , ,(69,) 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , , ,200, , , ,(4,) , , ,4, , , ,0, , , ,0, 
, , Venezuela Government International Bond, , ,5.000, , , ,09/20/2020, , , ,43.415, , ,$,400, , , ,(269,) , , ,50, , , ,0, , , ,(219,) 
BRC, , Brazil Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.648, , , ,"2,000", , , ,(49,) , , ,53, , , ,4, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"7,000", , , ,(193,) , , ,18, , , ,0, , , ,(175,) 
, , Philippines Government International Bond, , ,1.000, , , ,06/20/2021, , , ,0.996, , , ,"3,000", , , ,(83,) , , ,85, , , ,2, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.795, , , ,"3,500", , , ,(170,) , , ,42, , , ,0, , , ,(128,) 
, , Seagate Technology HDD Holdings, , ,5.000, , , ,03/20/2018, , , ,0.125, , , ,400, , , ,27, , , ,(2,) , , ,25, , , ,0, 
, , Seagate Technology HDD Holdings, , ,5.000, , , ,06/20/2018, , , ,0.133, , , ,300, , , ,18, , , ,4, , , ,22, , , ,0, 
, , Springleaf Finance Corp., , ,5.000, , , ,12/20/2021, , , ,4.353, , , ,300, , , ,(13,) , , ,22, , , ,9, , , ,0, 
