,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , ,"  Swap Agreements, at Value 
(5)  ", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , ABX.HE.AAA.6-2 Index, , ,0.110,% , , ,05/25/2046, , ,$,"142,360", , ,$,"(29,490",) , ,$,"10,630", , ,$,0, , ,$,"(18,860",) 
, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"45,641", , , ,"(25,616",) , , ,"15,005", , , ,0, , , ,"(10,611",) 
, , ABX.HE.AAA.7-2 Index, , ,0.760, , , ,01/25/2038, , , ,"5,555", , , ,"(3,159",) , , ,"1,336", , , ,0, , , ,"(1,823",) 
, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,"3,028", , , ,(81,) , , ,75, , , ,0, , , ,(6,) 
, , CMBX.NA.AAA.4 Index, , ,0.350, , , ,02/17/2051, , , ,"45,044", , , ,"(1,408",) , , ,"1,356", , , ,0, , , ,(52,) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"188,710", , , ,"(5,301",) , , ,"5,247", , , ,0, , , ,(54,) 
, , CMBX.NA.AS.6 Index, , ,1.000, , , ,05/11/2063, , , ,"8,000", , , ,(19,) , , ,60, , , ,41, , , ,0, 
BPS, , CDX.EM-17 5-Year Index, , ,5.000, , , ,06/20/2017, , , ,"45,500", , , ,345, , , ,(99,) , , ,246, , , ,0, 
BRC, , ABX.HE.AAA.6-2 Index, , ,0.110, , , ,05/25/2046, , , ,"13,631", , , ,"(3,200",) , , ,"1,394", , , ,0, , , ,"(1,806",) 
, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"14,353", , , ,"(8,109",) , , ,"4,772", , , ,0, , , ,"(3,337",) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"12,494", , , ,(444,) , , ,440, , , ,0, , , ,(4,) 
, , CMBX.NA.AS.6 Index, , ,1.000, , , ,05/11/2063, , , ,"30,400", , , ,"(1,000",) , , ,"1,157", , , ,157, , , ,0, 
, , PrimeX.ARM.2-AAA Index, , ,4.580, , , ,12/25/2037, , , ,"6,107", , , ,247, , , ,(185,) , , ,62, , , ,0, 
CBK, , ABX.HE.AA.6-1 Index, , ,0.320, , , ,07/25/2045, , , ,"21,970", , , ,"(10,710",) , , ,"7,086", , , ,0, , , ,"(3,624",) 
, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"110,227", , , ,"(62,044",) , , ,"36,418", , , ,0, , , ,"(25,626",) 
, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,"2,126", , , ,(75,) , , ,71, , , ,0, , , ,(4,) 
, , CMBX.NA.AAA.4 Index, , ,0.350, , , ,02/17/2051, , , ,"67,565", , , ,"(2,174",) , , ,"2,095", , , ,0, , , ,(79,) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"49,976", , , ,"(2,105",) , , ,"2,091", , , ,0, , , ,(14,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"50,000", , , ,"(1,820",) , , ,"1,251", , , ,0, , , ,(569,) 
DUB, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"20,094", , , ,"(11,303",) , , ,"6,632", , , ,0, , , ,"(4,671",) 
, , ABX.HE.AAA.7-2 Index, , ,0.760, , , ,01/25/2038, , , ,"18,538", , , ,"(10,542",) , , ,"4,458", , , ,0, , , ,"(6,084",) 
, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,"1,914", , , ,(48,) , , ,44, , , ,0, , , ,(4,) 
, , CMBX.NA.AAA.4 Index, , ,0.350, , , ,02/17/2051, , , ,"187,268", , , ,"(6,717",) , , ,"6,499", , , ,0, , , ,(218,) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"158,924", , , ,"(4,319",) , , ,"4,274", , , ,0, , , ,(45,) 
, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"192,300", , , ,"(8,719",) , , ,"7,649", , , ,0, , , ,"(1,070",) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"595,300", , , ,"(38,483",) , , ,"31,706", , , ,0, , , ,"(6,777",) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"10,000", , , ,"(1,005",) , , ,787, , , ,0, , , ,(218,) 
, , CMBX.NA.AS.6 Index, , ,1.000, , , ,05/11/2063, , , ,"10,000", , , ,(208,) , , ,260, , , ,52, , , ,0, 
FBF, , ABX.HE.AA.6-2 Index, , ,0.170, , , ,05/25/2046, , , ,"28,886", , , ,"(25,672",) , , ,"13,444", , , ,0, , , ,"(12,228",) 
, , ABX.HE.AA.7-1 Index, , ,0.150, , , ,08/25/2037, , , ,550, , , ,(436,) , , ,260, , , ,0, , , ,(176,) 
, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"185,435", , , ,"(104,249",) , , ,"61,139", , , ,0, , , ,"(43,110",) 
, , ABX.HE.AAA.7-2 Index, , ,0.760, , , ,01/25/2038, , , ,"108,314", , , ,"(61,594",) , , ,"26,047", , , ,0, , , ,"(35,547",) 
, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,"2,122", , , ,(56,) , , ,52, , , ,0, , , ,(4,) 
, , CMBX.NA.AAA.4 Index, , ,0.350, , , ,02/17/2051, , , ,"136,990", , , ,"(7,189",) , , ,"7,030", , , ,0, , , ,(159,) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"288,362", , , ,"(9,366",) , , ,"9,283", , , ,0, , , ,(83,) 
, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"319,100", , , ,"(10,824",) , , ,"9,049", , , ,0, , , ,"(1,775",) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"168,800", , , ,"(8,696",) , , ,"6,774", , , ,0, , , ,"(1,922",) 
, , CMBX.NA.AS.6 Index, , ,1.000, , , ,05/11/2063, , , ,"68,000", , , ,"(1,528",) , , ,"1,878", , , ,350, , , ,0, 
GST, , ABX.HE.AAA.6-2 Index, , ,0.110, , , ,05/25/2046, , , ,"20,296", , , ,"(4,587",) , , ,"1,898", , , ,0, , , ,"(2,689",) 
