,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (2)", , , NotionalAmount (3), , ,Premiums(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , Deutsche Bank AG, , ,1.000,% , , ,12/20/2021, , , ,3.416,% , , ,EUR, , , ,100, , ,$,(17,) , ,$,6, , ,$,0, , ,$,(11,) 
BPS, , Deutsche Bank AG, , ,1.000, , , ,12/20/2021, , , ,3.416, , ,,,, , ,100, , , ,(17,) , , ,6, , , ,0, , , ,(11,) 
BRC, , Deutsche Bank AG, , ,1.000, , , ,12/20/2021, , , ,3.416, , ,,,, , ,100, , , ,(18,) , , ,6, , , ,0, , , ,(12,) 
JPM, , Deutsche Bank AG, , ,1.000, , , ,12/20/2021, , , ,3.416, , ,,,, , ,100, , , ,(21,) , , ,9, , , ,0, , , ,(12,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,$,  (73,) , ,$,  27, , ,$,  0, , ,$,  (46,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, ,,,, ,,,, ,,,, ,,,, ,,,, ,$,(73,) , ,$,27, , ,$,0, , ,$,(46,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
