,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(5)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , ABX.HE.AAA.6-2 Index, , ,0.110,% , , ,05/25/2046, , ,$,  721, , ,$,  (147,) , ,$,51, , ,$,0, , ,$,(96,) 
, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,600, , , ,49, , , ,32, , , ,81, , , ,0, 
CBK, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,700, , , ,57, , , ,37, , , ,94, , , ,0, 
GST, , CDX.IG-9 10-Year Index 30-100%, , ,0.548, , , ,12/20/2017, , , ,386, , , ,0, , , ,2, , , ,2, , , ,0, 
JPM, , CDX.IG-9 10-Year Index 30-100%, , ,0.553, , , ,12/20/2017, , , ,675, , , ,0, , , ,3, , , ,3, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,(41,) , ,$,  125, , ,$,  180, , ,$,  (96,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
