,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ," Fixed
Receive Rate", , ," Maturity
Date", , ," Implied Credit
Spread at
December 31, 2016 (2)", , ," Notional
Amount (3)", , ," Premiums
Paid/ (Received)", , ," Unrealized
Appreciation/
(Depreciation)", , ,Asset, , ,Liability, 
BOA, , Colombia Government International Bond, , ,1.000,% , , ,12/20/2017, , , ,0.514,% , ,$,"3,900", , ,$,(10,) , ,$,30, , ,$,20, , ,$,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,EUR,"  1,000", , , ,(14,) , , ,15, , , ,1, , , ,0, 
, , Peru Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.762, , ,$,600, , , ,(19,) , , ,24, , , ,5, , , ,0, 
BPS, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , , ,"1,100", , , ,3, , , ,1, , , ,4, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2018, , , ,0.637, , , ,"1,600", , , ,10, , , ,(1,) , , ,9, , , ,0, 
BRC, , Russia Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.167, , , ,"8,700", , , ,(18,) , , ,56, , , ,38, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2017, , , ,0.332, , , ,"8,700", , , ,(71,) , , ,131, , , ,60, , , ,0, 
GST, , Chile Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.632, , , ,"9,000", , , ,18, , , ,105, , , ,123, , , ,0, 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2017, , , ,0.514, , , ,"7,700", , , ,(25,) , , ,64, , , ,39, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2017, , , ,0.247, , , ,"8,700", , , ,(80,) , , ,147, , , ,67, , , ,0, 
HUS, , Mexico Government International Bond, , ,1.000, , , ,03/20/2017, , , ,0.362, , , ,"3,600", , , ,5, , , ,2, , , ,7, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , , ,"5,300", , , ,15, , , ,2, , , ,17, , , ,0, 
SCX, , Nigeria Government International Bond, , ,5.000, , , ,09/20/2017, , , ,5.247, , , ,"5,000", , , ,9, , , ,(8,) , , ,1, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,$,  (177,) , ,$,  568, , ,$,  391, , ,$,  0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
