3467295,<,O
3467295,T,O
3467295,D,O
3467295, ,O
3467295,n,O
3467295,o,O
3467295,W,O
3467295,r,O
3467295,a,O
3467295,p,O
3467295, ,O
3467295,a,O
3467295,l,O
3467295,i,O
3467295,g,O
3467295,n,O
3467295,=,O
3467295,c,O
3467295,e,O
3467295,n,O
3467295,t,O
3467295,e,O
3467295,r,O
3467295,>,O
3467295,<,O
3467295,F,O
3467295,O,O
3467295,N,O
3467295,T,O
3467295, ,O
3467295,s,O
3467295,i,O
3467295,z,O
3467295,e,O
3467295,=,O
3467295,1,O
3467295, ,O
3467295,f,O
3467295,a,O
3467295,c,O
3467295,e,O
3467295,=,O
3467295,T,O
3467295,i,O
3467295,m,O
3467295,e,O
3467295,s,O
3467295,N,O
3467295,e,O
3467295,w,O
3467295,R,O
3467295,o,O
3467295,m,O
3467295,a,O
3467295,n,O
3467295,P,O
3467295,S,O
3467295,M,O
3467295,T,O
3467295,",",O
3467295,A,O
3467295,r,O
3467295,i,O
3467295,a,O
3467295,l,O
3467295,",",O
3467295,H,O
3467295,e,O
3467295,l,O
3467295,v,O
3467295,e,O
3467295,t,O
3467295,i,O
3467295,c,O
3467295,a,O
3467295,",",O
3467295,s,O
3467295,a,O
3467295,n,O
3467295,s,O
3467295,-,O
3467295,s,O
3467295,e,O
3467295,r,O
3467295,i,O
3467295,f,O
3467295,>,O
3467295,B,B-Direction of Trade
3467295,u,I-Direction of Trade
3467295,y,I-Direction of Trade
3467295,/,I-Direction of Trade
3467295,S,I-Direction of Trade
3467295,e,I-Direction of Trade
3467295,l,I-Direction of Trade
3467295,l,I-Direction of Trade
3467295,<,O
3467295,/,O
3467295,F,O
3467295,O,O
3467295,N,O
3467295,T,O
3467295,>,O
3467295,&,O
3467295,n,O
3467295,b,O
3467295,s,O
3467295,p,O
3467295,;,O
3467295,<,O
3467295,/,O
3467295,T,O
3467295,D,O
3467295,>,O
3467308,<,O
3467308,T,O
3467308,D,O
3467308, ,O
3467308,n,O
3467308,o,O
3467308,W,O
3467308,r,O
3467308,a,O
3467308,p,O
3467308, ,O
3467308,a,O
3467308,l,O
3467308,i,O
3467308,g,O
3467308,n,O
3467308,=,O
3467308,l,O
3467308,e,O
3467308,f,O
3467308,t,O
3467308,>,O
3467308,<,O
3467308,F,O
3467308,O,O
3467308,N,O
3467308,T,O
3467308, ,O
3467308,s,O
3467308,i,O
3467308,z,O
3467308,e,O
3467308,=,O
3467308,1,O
3467308, ,O
3467308,f,O
3467308,a,O
3467308,c,O
3467308,e,O
3467308,=,O
3467308,T,O
3467308,i,O
3467308,m,O
3467308,e,O
3467308,s,O
3467308,N,O
3467308,e,O
3467308,w,O
3467308,R,O
3467308,o,O
3467308,m,O
3467308,a,O
3467308,n,O
3467308,P,O
3467308,S,O
3467308,M,O
3467308,T,O
3467308,",",O
3467308,A,O
3467308,r,O
3467308,i,O
3467308,a,O
3467308,l,O
3467308,",",O
3467308,H,O
3467308,e,O
3467308,l,O
3467308,v,O
3467308,e,O
3467308,t,O
3467308,i,O
3467308,c,O
3467308,a,O
3467308,",",O
3467308,s,O
3467308,a,O
3467308,n,O
3467308,s,O
3467308,-,O
3467308,s,O
3467308,e,O
3467308,r,O
3467308,i,O
3467308,f,O
3467308,>,O
3467308,B,B-Counterparty
3467308,a,I-Counterparty
3467308,r,I-Counterparty
3467308,c,I-Counterparty
3467308,l,I-Counterparty
3467308,a,I-Counterparty
3467308,y,I-Counterparty
3467308,s,I-Counterparty
3467308, ,I-Counterparty
3467308,B,I-Counterparty
3467308,a,I-Counterparty
3467308,n,I-Counterparty
3467308,k,I-Counterparty
3467308,<,O
3467308,/,O
3467308,F,O
3467308,O,O
3467308,N,O
3467308,T,O
3467308,>,O
3467308,&,O
3467308,n,O
3467308,b,O
3467308,s,O
3467308,p,O
3467308,;,O
3467308,<,O
3467308,/,O
3467308,T,O
3467308,D,O
3467308,>,O
3467309,<,O
3467309,T,O
3467309,D,O
3467309, ,O
3467309,n,O
3467309,o,O
3467309,W,O
3467309,r,O
3467309,a,O
3467309,p,O
3467309, ,O
3467309,a,O
3467309,l,O
3467309,i,O
3467309,g,O
3467309,n,O
3467309,=,O
3467309,l,O
3467309,e,O
3467309,f,O
3467309,t,O
3467309,>,O
3467309,<,O
3467309,F,O
3467309,O,O
3467309,N,O
3467309,T,O
3467309, ,O
3467309,s,O
3467309,i,O
3467309,z,O
3467309,e,O
3467309,=,O
3467309,1,O
3467309, ,O
3467309,f,O
3467309,a,O
3467309,c,O
3467309,e,O
3467309,=,O
3467309,T,O
3467309,i,O
3467309,m,O
3467309,e,O
3467309,s,O
3467309,N,O
3467309,e,O
3467309,w,O
3467309,R,O
3467309,o,O
3467309,m,O
3467309,a,O
3467309,n,O
