,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (2)", , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , Colombia Government International Bond, , ,1.000,% , , ,12/20/2017, , , ,0.514,% , ,$,"3,100", , ,$,(7,) , ,$,23, , ,$,16, , ,$,0, 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.892, , , ,"1,300", , , ,(3,) , , ,7, , , ,4, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2017, , , ,0.332, , , ,"9,400", , , ,(67,) , , ,132, , , ,65, , , ,0, 
BPS, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , , ,"2,300", , , ,6, , , ,1, , , ,7, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2018, , , ,0.637, , , ,"2,800", , , ,17, , , ,(1,) , , ,16, , , ,0, 
BRC, , Colombia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.892, , , ,"4,400", , , ,10, , , ,3, , , ,13, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.167, , , ,"7,100", , , ,(15,) , , ,46, , , ,31, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2017, , , ,0.332, , , ,"7,100", , , ,(57,) , , ,106, , , ,49, , , ,0, 
DUB, , Colombia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.892, , , ,"11,100", , , ,(14,) , , ,48, , , ,34, , , ,0, 
GST, , Chile Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.632, , , ,"7,000", , , ,14, , , ,82, , , ,96, , , ,0, 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2017, , , ,0.514, , , ,"6,500", , , ,(21,) , , ,54, , , ,33, , , ,0, 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.892, , , ,"4,100", , , ,10, , , ,2, , , ,12, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2017, , , ,0.247, , , ,"7,200", , , ,(66,) , , ,122, , , ,56, , , ,0, 
HUS, , Mexico Government International Bond, , ,1.000, , , ,03/20/2017, , , ,0.362, , , ,"5,800", , , ,8, , , ,3, , , ,11, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , , ,"8,200", , , ,23, , , ,3, , , ,26, , , ,0, 
SCX, , Nigeria Government International Bond, , ,5.000, , , ,09/20/2017, , , ,5.247, , , ,"4,100", , , ,7, , , ,(6,) , , ,1, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,$,(155,) , ,$,625, , ,$,470, , ,$,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, , ,$,  (155,) , ,$,  625, , ,$,  470, , ,$,  0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
