,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value  
(4)", 
Counterparty, ,Reference Obligation, ,Fixed(Pay) Rate, , ," Maturity
Date", , ," Notional
Amount (3)", , ," Premiums
Paid/(Received)", , ," Unrealized
Appreciation/(Depreciation)", , ,Asset, , ,Liability, 
BRC, ," Specialty Underwriting & Residential Finance
1-Month USD-LIBOR plus 1.950% due 02/25/2035", , ,(1.240,)% , , ,02/25/2035, , ,$,84, , ,$,0, , ,$,45, , ,$,45, , ,$,0, 
JPM, , UBS Commercial Mortgage Trust 0.900% due 09/15/2040, , ,(1.170,) , , ,09/15/2040, , , ,"1,000", , , ,0, , , ,466, , , ,466, , , ,0, 
MYC, , Morgan Stanley ABS Capital 1-Month USD-LIBOR plus 2.550% due 12/27/2033, , ,(1.390,) , , ,12/27/2033, , , ,4, , , ,0, , , ,0, , , ,0, , , ,0, 
RYL, ," Ameriquest Mortgage Securities, Inc. 1-Month USD-LIBOR plus 2.790% due 01/25/2034", , ,(1.730,) , , ,01/25/2034, , , ,247, , , ,0, , , ,61, , , ,61, , , ,0, 
, ," Ameriquest Mortgage Securities, Inc. 1-Month USD-LIBOR plus 3.150% due 05/25/2033", , ,(0.700,) , , ,05/25/2033, , , ,"  2,500", , , ,0, , , ,19, , , ,19, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,, ,,,, ,,,, ,,,, ,$,  0, , ,$,  591, , ,$,  591, , ,$,  0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
