,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(5)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BPS, , CDX.EM-17 5-Year Index, , ,5.000,% , , ,06/20/2017, , ,$,"  8,190", , ,$,953, , ,$,(908,) , ,$,45, , ,$,0, 
BRC, , CDX.EM-EXEU-18 5-Year Index, , ,5.000, , , ,12/20/2017, , , ,"1,710", , , ,213, , , ,(196,) , , ,17, , , ,0, 
CBK, , MCDX-27 5-Year Index, , ,1.000, , , ,12/20/2021, , , ,"3,600", , , ,41, , , ,14, , , ,55, , , ,0, 
GST, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"12,200", , , ,(458,) , , ,192, , , ,0, , , ,(266,) 
MYC, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"5,200", , , ,(203,) , , ,89, , , ,0, , , ,(114,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,546, , ,$,(809,) , ,$,117, , ,$,(380,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, , ,$,"  (5,344",) , ,$,"  3,062", , ,$,"  2,002", , ,$,"  (4,284",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
