,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
CBK, , MCDX-25 5-Year Index, , ,1.000,% , , ,12/20/2020, , ,$,"  6,400", , ,$,(9,) , ,$,121, , ,$,112, , ,$,0, 
, , MCDX-26 5-Year Index, , ,1.000, , , ,06/20/2021, , , ,"17,000", , , ,38, , , ,242, , , ,280, , , ,0, 
GST, , MCDX-25 5-Year Index, , ,1.000, , , ,12/20/2020, , , ,"18,600", , , ,(27,) , , ,354, , , ,327, , , ,0, 
, , MCDX-26 5-Year Index, , ,1.000, , , ,06/20/2021, , , ,"8,000", , , ,17, , , ,115, , , ,132, , , ,0, 
MYC, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,81, , , ,(1,) , , ,1, , , ,0, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,  18, , ,$,  833, , ,$,  851, , ,$,  0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
