,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , CDX.HY-21 5-Year Index 25-35%, , ,5.000,% , , ,12/20/2018, , ,$,"4,600", , ,$,309, , ,$,137, , ,$,446, , ,$,0, 
CBK, , CDX.HY-21 5-Year Index 25-35%, , ,5.000, , , ,12/20/2018, , , ,"5,800", , , ,420, , , ,143, , , ,563, , , ,0, 
, , CDX.HY-27 5-Year Index 25-35%, , ,5.000, , , ,12/20/2021, , , ,"4,300", , , ,407, , , ,147, , , ,554, , , ,0, 
GST, , CMBX.NA.BB.6 Index, , ,5.000, , , ,05/11/2063, , , ,"1,000", , , ,(144,) , , ,13, , , ,0, , , ,(131,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,900, , , ,(89,) , , ,38, , , ,0, , , ,(51,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"  7,800", , , ,"  (1,751",) , , ,733, , , ,0, , , ,"(1,018",) 
MYC, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,700, , , ,(71,) , , ,32, , , ,0, , , ,(39,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,(919,) , ,$,"  1,243", , ,$,"  1,563", , ,$,"  (1,239",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
