,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed(Pay) Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (4)", , , NotionalAmount (5), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , ING Bank NV, , ,(1.000),% , , ,12/20/2021, , , ,1.497,% , , ,EUR, , , ,300, , ,$,8, , ,$,0, , ,$,8, , ,$,0, 
, , Intesa Sanpaolo SpA, , ,(1.000), , , ,03/20/2026, , , ,3.201, , , ,$, , , ,"1,100", , , ,167, , , ,9, , , ,176, , , ,0, 
BPS, , HSBC Bank PLC, , ,(1.000), , , ,06/20/2021, , , ,1.319, , , ,EUR, , , ,"1,100", , , ,14, , , ,2, , , ,16, , , ,0, 
, , ING Bank NV, , ,(1.000), , , ,06/20/2021, , , ,1.417, , ,,,, , ,"1,000", , , ,25, , , ,(6), , , ,19, , , ,0, 
BRC, , Springleaf Finance Corp., , ,(5.000), , , ,06/20/2020, , , ,3.344, , , ,$, , , ,"1,200", , , ,(93), , , ,27, , , ,0, , , ,(66), 
CBK, , Barclays Bank PLC, , ,(1.000), , , ,06/20/2021, , , ,1.685, , , ,EUR, , , ,"1,000", , , ,51, , , ,  (20), , , ,31, , , ,0, 
, , Credit Agricole S.A., , ,(1.000), , , ,12/20/2021, , , ,0.736, , ,,,, , ,100, , , ,(1), , , ,0, , , ,0, , , ,(1), 
, , HSBC Bank PLC, , ,(1.000), , , ,12/20/2021, , , ,1.425, , ,,,, , ,300, , , ,8, , , ,(2), , , ,6, , , ,0, 
, , UBS AG, , ,(1.000), , , ,12/20/2021, , , ,1.473, , ,,,, , ,300, , , ,11, , , ,(4), , , ,7, , , ,0, 
DUB, ," Cytec Industries, Inc.", , ,(1.000), , , ,09/20/2017, , , ,0.086, , , ,$, , , ,200, , , ,2, , , ,(3), , , ,0, , , ,(1), 
GST, , SABMiller PLC, , ,(1.000), , , ,01/20/2022, , , ,0.334, , ,,,, , ,200, , , ,(5), , , ,(2), , , ,0, , , ,(7), 
JPM, , Intesa Sanpaolo SpA, , ,(1.000), , , ,09/20/2024, , , ,3.120, , ,,,, , ,400, , , ,62, , , ,(8), , , ,54, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,,,, ,,,, ,$,  249, , ,$,(7), , ,$,  317, , ,$,  (75), 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
