,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,  , , , , , , ,Variation Margin, 
Index/Tranches, ," Fixed
Receive Rate", , ," Maturity
Date", , ," Notional
Amount (3)", ,  ," Market
Value (4)", , ," Unrealized
Appreciation", , ,Asset, , ,Liability, 
 CDX.IG-22 5-Year Index, , ,1.000,% , , ,06/20/2019, , ,$,"6,600", ,  ,$,104, , ,$,9, , ,$,1, , ,$,0, 
 CDX.IG-23 5-Year Index, , ,1.000, , , ,12/20/2019, , , ,"140,900", ,  , ,"2,250", , , ,244, , , ,32, , , ,0, 
 CDX.IG-25 5-Year Index, , ,1.000, , , ,12/20/2020, , , ,"367,500", ,  , ,"6,157", , , ,945, , , ,101, , , ,0, 
 CDX.IG-26 5-Year Index, , ,1.000, , , ,06/20/2021, , , ,"573,000", ,  , ,"9,739", , , ,"1,320", , , ,105, , , ,0, 
 CDX.IG-27 5-Year Index, , ,1.000, , , ,12/20/2021, , , ,"  1,077,550", ,  , ,"16,722", , , ,"2,922", , , ,322, , , ,0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"  34,972", , ,$,"  5,440", , ,$,  561, , ,$,  0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
