,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed Receive Rate, , ,MaturityDate, , ,"Implied CreditSpread atDecember 31, 
2016 (3)", , ,"
NotionalAmount (4)", , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2021, , , ,4.729, , ,$, , ,200, , , ,(31,) , , ,(1,) , , ,0, , , ,(32,) 
, , Petroleos Mexicanos, , ,1.000, , , ,06/20/2021, , , ,2.796, , ,, , ,"5,000", , , ,(451,) , , ,85, , , ,0, , , ,(366,) 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.228, , ,, , ,"1,600", , , ,(45,) , , ,52, , , ,7, , , ,0, 
, , Turkey Government International Bond, , ,1.000, , , ,12/20/2019, , , ,1.882, , ,, , ,"38,945", , , ,"(1,751",) , , ,785, , , ,0, , , ,(966,) 
BRC, , Brazil Government International Bond, , ,1.000, , , ,03/20/2023, , , ,3.111, , ,, , ,"2,800", , , ,(151,) , , ,(168,) , , ,0, , , ,(319,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,, , ,300, , , ,(10,) , , ,4, , , ,0, , , ,(6,) 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , ,, , ,"18,300", , , ,(648,) , , ,118, , , ,0, , , ,(530,) 
, , Indonesia Government International Bond, , ,1.000, , , ,06/20/2022, , , ,1.702, , ,, , ,"21,700", , , ,"(2,593",) , , ,"1,839", , , ,0, , , ,(754,) 
, , Petroleos Mexicanos, , ,1.000, , , ,06/20/2021, , , ,2.796, , ,, , ,"10,000", , , ,(901,) , , ,170, , , ,0, , , ,(731,) 
, , Philippines Government International Bond, , ,1.000, , , ,06/20/2021, , , ,0.996, , ,, , ,600, , , ,(17,) , , ,17, , , ,0, , , ,0, 
, , Seagate Technology HDD Holdings, , ,5.000, , , ,03/20/2018, , , ,0.125, , ,, , ,800, , , ,55, , , ,(6,) , , ,49, , , ,0, 
, , Seagate Technology HDD Holdings, , ,5.000, , , ,06/20/2018, , , ,0.133, , ,, , ,400, , , ,24, , , ,5, , , ,29, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.228, , ,, , ,"3,360", , , ,(123,) , , ,137, , , ,14, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.305, , ,, , ,360, , , ,(13,) , , ,15, , , ,2, , , ,0, 
, , Springleaf Finance Corp., , ,5.000, , , ,12/20/2021, , , ,4.353, , ,, , ,"2,300", , , ,(103,) , , ,170, , , ,67, , , ,0, 
CBK, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,EUR, , ,"1,500", , , ,(27,) , , ,29, , , ,2, , , ,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,2.378, , ,, , ,200, , , ,(18,) , , ,15, , , ,0, , , ,(3,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.708, , ,$, , ,"14,075", , , ,(49,) , , ,135, , , ,86, , , ,0, 
, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2018, , , ,1.677, , ,EUR, , ,800, , , ,(20,) , , ,9, , , ,0, , , ,(11,) 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.228, , ,$, , ,"1,300", , , ,(35,) , , ,40, , , ,5, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.305, , ,, , ,"1,050", , , ,(18,) , , ,24, , , ,6, , , ,0, 
, , Turkey Government International Bond, , ,1.000, , , ,03/20/2020, , , ,2.011, , ,, , ,"16,600", , , ,(769,) , , ,259, , , ,0, , , ,(510,) 
DUB, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,, , ,100, , , ,(3,) , , ,1, , , ,0, , , ,(2,) 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , ,, , ,"17,900", , , ,(629,) , , ,110, , , ,0, , , ,(519,) 
, , Export-Import Bank of China, , ,1.000, , , ,09/20/2017, , , ,0.317, , ,, , ,500, , , ,(19,) , , ,22, , , ,3, , , ,0, 
, , Gazprom S.A., , ,1.490, , , ,09/20/2017, , , ,0.427, , ,, , ,"5,000", , , ,0, , , ,60, , , ,60, , , ,0, 
, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.673, , ,, , ,"12,286", , , ,(488,) , , ,571, , , ,83, , , ,0, 
, , Petroleos Mexicanos, , ,1.000, , , ,06/20/2021, , , ,2.796, , ,, , ,"12,700", , , ,"(1,137",) , , ,208, , , ,0, , , ,(929,) 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.228, , ,, , ,"1,320", , , ,(46,) , , ,51, , , ,5, , , ,0, 
FBF, ," Citigroup, Inc.", , ,1.000, , , ,03/20/2018, , , ,0.329, , ,, , ,"9,600", , , ,(37,) , , ,119, , , ,82, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2020, , , ,1.708, , ,, , ,"2,150", , , ,(83,) , , ,26, , , ,0, , , ,(57,) 
, ," Univision Communications, Inc.", , ,5.000, , , ,09/20/2019, , , ,1.953, , ,, , ,"1,000", , , ,(110,) , , ,192, , , ,82, , , ,0, 
GST, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,, , ,"20,300", , , ,(710,) , , ,203, , , ,0, , , ,(507,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2021, , , ,4.502, , ,, , ,"1,000", , , ,(174,) , , ,36, , , ,0, , , ,(138,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2021, , , ,4.729, , ,, , ,"9,200", , , ,"(1,642",) , , ,172, , , ,0, , , ,"(1,470",) 
, , Petroleos Mexicanos, , ,1.000, , , ,12/20/2021, , , ,2.969, , ,, , ,"5,700", , , ,(527,) , , ,27, , , ,0, , , ,(500,) 
, , South Africa Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.305, , ,, , ,675, , , ,(19,) , , ,23, , , ,4, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.402, , ,, , ,"15,000", , , ,(921,) , , ,739, , , ,0, , , ,(182,) 
, , Springleaf Finance Corp., , ,5.000, , , ,12/20/2021, , , ,4.353, , ,, , ,"1,100", , , ,(37,) , , ,69, , , ,32, , , ,0, 
, ," Univision Communications, Inc.", , ,5.000, , , ,09/20/2019, , , ,1.953, , ,, , ,"4,150", , , ,(456,) , , ,796, , , ,340, , , ,0, 
HUS, , Brazil Government International Bond, , ,1.000, , , ,03/20/2023, , , ,3.111, , ,, , ,50, , , ,(3,) , , ,(3,) , , ,0, , , ,(6,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,, , ,200, , , ,(6,) , , ,2, , , ,0, , , ,(4,) 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , ,, , ,"19,500", , , ,(804,) , , ,239, , , ,0, , , ,(565,) 
, , Mexico Government International Bond, , ,1.000, , , ,03/20/2017, , , ,0.362, , ,, , ,"26,700", , , ,93, , , ,(45,) , , ,48, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,, , ,"2,900", , , ,(102,) , , ,30, , , ,0, , , ,(72,) 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.228, , ,, , ,"13,085", , , ,(437,) , , ,490, , , ,53, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.305, , ,, , ,"2,131", , , ,(40,) , , ,52, , , ,12, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,03/20/2023, , , ,2.455, , ,, , ,750, , , ,(78,) , , ,18, , , ,0, , , ,(60,) 
, , Turkey Government International Bond, , ,1.000, , , ,12/20/2019, , , ,1.882, , ,, , ,"30,200", , , ,"(1,352",) , , ,603, , , ,0, , , ,(749,) 
JPM, , Banco Espirito Santo S.A., , ,5.000, , , ,12/20/2021, , , ,19.064, , ,EUR, , ,400, , , ,(111,) , , ,(26,) , , ,0, , , ,(137,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,$, , ,100, , , ,(3,) , , ,1, , , ,0, , , ,(2,) 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,EUR, , ,700, , , ,(10,) , , ,11, , , ,1, , , ,0, 
, , Philippines Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.260, , ,$, , ,"1,160", , , ,(23,) , , ,30, , , ,7, , , ,0, 
, , Philippines Government International Bond, , ,1.000, , , ,06/20/2021, , , ,0.996, , ,, , ,"36,000", , , ,(866,) , , ,886, , , ,20, , , ,0, 
, , Springleaf Finance Corp., , ,5.000, , , ,12/20/2021, , , ,4.353, , ,, , ,"1,000", , , ,(39,) , , ,68, , , ,29, , , ,0, 
MYC, , Banco Espirito Santo S.A., , ,5.000, , , ,12/20/2021, , , ,19.064, , ,EUR, , ,100, , , ,(28,) , , ,(6,) , , ,0, , , ,(34,) 
, , Philippines Government International Bond, , ,2.440, , , ,09/20/2017, , , ,0.260, , ,$, , ,300, , , ,0, , , ,5, , , ,5, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2020, , , ,1.708, , ,, , ,"4,500", , , ,(147,) , , ,28, , , ,0, , , ,(119,) 
NGF, , Saudi Arabia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.009, , ,, , ,"3,500", , , ,(92,) , , ,92, , , ,0, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.949, , ,, , ,"21,200", , , ,"(1,305",) , , ,469, , , ,0, , , ,(836,) 
, , Turkey Government International Bond, , ,1.000, , , ,12/20/2021, , , ,2.735, , ,, , ,600, , , ,(55,) , , ,8, , , ,0, , , ,(47,) 
SOG, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,EUR, , ,300, , , ,(4,) , , ,4, , , ,0, , , ,0, 
UAG, , Philippines Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.260, , ,$, , ,709, , , ,(20,) , , ,24, , , ,4, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.228, , ,, , ,"1,305", , , ,(39,) , , ,44, , , ,5, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2021, , , ,2.140, , ,, , ,"18,900", , , ,"(1,385",) , , ,401, , , ,0, , , ,(984,) 
, ,, ,,,, ,,,, ,,,, ,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,, ,,,, ,$,"  (24,214",) , ,$,"  11,798", , ,$,"  1,452", , ,$,"  (13,868",) 
, ,, ,,,, ,,,, ,,,, ,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
