,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
DUB, , CMBX.NA.AAA.7 Index, , ,0.500,% , , ,01/17/2047, , ,$,"3,200", , ,$,(99,) , ,$,81, , ,$,0, , ,$,(18,) 
GST, , CDX.IG-9 10-Year Index 30-100%, , ,0.548, , , ,12/20/2017, , , ,"1,061", , , ,0, , , ,6, , , ,6, , , ,0, 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"8,100", , , ,(645,) , , ,553, , , ,0, , , ,(92,) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"  27,600", , , ,"(1,237",) , , ,634, , , ,0, , , ,(603,) 
JPM, , CDX.IG-9 10-Year Index 30-100%, , ,0.553, , , ,12/20/2017, , , ,"2,218", , , ,0, , , ,12, , , ,12, , , ,0, 
MEI, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"9,300", , , ,(633,) , , ,527, , , ,0, , , ,(106,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"2,600", , , ,(201,) , , ,55, , , ,0, , , ,(146,) 
MYC, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,238, , , ,(2,) , , ,2, , , ,0, , , ,0, 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"3,000", , , ,(121,) , , ,55, , , ,0, , , ,(66,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,, ,,,, ,,,, ,,,, ,$,"(2,938",) , ,$,"1,925", , ,$,18, , ,$,"(1,031",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, , ,,,, ,,,, ,$,"  (2,958",) , ,$,"  2,029", , ,$,  150, , ,$,"  (1,079",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
