,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
CBK, ," MCDX-27 5-Year
Index", , ,1.000,% , , ,12/20/2021, , ,$,"64,500", , ,$,699, , ,$,287, , ,$,986, , ,$,0, 
DUB, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"4,400", , , ,(437,) , , ,190, , , ,0, , , ,(247,) 
FBF, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"122,400", , , ,"(6,174",) , , ,"4,780", , , ,0, , , ,"(1,394",) 
GST, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"35,800", , , ,"(1,903",) , , ,"1,495", , , ,0, , , ,(408,) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"12,100", , , ,(449,) , , ,185, , , ,0, , , ,(264,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"23,800", , , ,"(2,533",) , , ,"1,197", , , ,0, , , ,"(1,336",) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"16,200", , , ,"(3,160",) , , ,"1,045", , , ,0, , , ,"(2,115",) 
JPS, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"47,300", , , ,"(4,330",) , , ,"1,675", , , ,0, , , ,"(2,655",) 
MEI, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,400, , , ,(4,) , , ,4, , , ,0, , , ,0, 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"28,400", , , ,"(1,590",) , , ,"1,267", , , ,0, , , ,(323,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"8,000", , , ,(770,) , , ,321, , , ,0, , , ,(449,) 
MYC, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"3,400", , , ,(197,) , , ,158, , , ,0, , , ,(39,) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"15,400", , , ,(583,) , , ,247, , , ,0, , , ,(336,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"13,500", , , ,"(1,188",) , , ,430, , , ,0, , , ,(758,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"20,100", , , ,"(2,239",) , , ,"1,111", , , ,0, , , ,"(1,128",) 
, , CMBX.NA.BBB-.8 Index, , ,3.000, , , ,10/17/2057, , , ,"3,600", , , ,(574,) , , ,66, , , ,0, , , ,(508,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"12,600", , , ,"(2,364",) , , ,719, , , ,0, , , ,"(1,645",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,$,"  (27,796",) , ,$,"  15,177", , ,$,  986, , ,$,"  (13,605",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
