,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ," Fixed
(Pay) Rate", , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (4)", , ,NotionalAmount (5), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
 BOA, ," CenturyLink, Inc.", , ,(0.595,)% , , ,06/20/2017, , , ,0.209,% , ,$,"2,800", , ,$,0, , ,$,(6,) , ,$,0, , ,$,(6,) 
, , ING Bank NV, , ,(1.000,) , , ,12/20/2021, , , ,1.497, , ,EUR, 800, , , ,23, , , ,(3,) , , ,20, , , ,0, 
 BPS, , HSBC Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.319, , , ,"2,900", , , ,36, , , ,6, , , ,42, , , ,0, 
, , ING Bank NV, , ,(1.000,) , , ,12/20/2021, , , ,1.497, , , ,800, , , ,29, , , ,(9,) , , ,20, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,0.609, , , ,"1,700", , , ,(27,) , , ,(9,) , , ,0, , , ,(36,) 
 BRC, , Cooperatieve Rabobank UA, , ,(1.000,) , , ,12/20/2021, , , ,1.507, , , ,"3,500", , , ,104, , , ,(15,) , , ,89, , , ,0, 
 CBK, , HSBC Bank PLC, , ,(1.000,) , , ,12/20/2021, , , ,1.425, , , ,800, , , ,20, , , ,(3,) , , ,17, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,1.473, , , ,800, , , ,29, , , ,(10,) , , ,19, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,06/20/2024, , , ,1.716, , ,$,"4,800", , , ,255, , , ,(30,) , , ,225, , , ,0, 
 GST, , SABMiller PLC, , ,(1.000,) , , ,01/20/2022, , , ,0.334, , , ,500, , , ,(12,) , , ,(5,) , , ,0, , , ,(17,) 
 JPM, , Barclays Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.685, , ,EUR,"  3,700", , , ,198, , , ,(82,) , , ,116, , , ,0, 
, , Intesa Sanpaolo SpA, , ,(1.000,) , , ,03/20/2026, , , ,3.201, , ,$,"2,500", , , ,407, , , ,(8,) , , ,399, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,, ,,,, ,,,, ,,,, ,,,, ,$,"  1,062", , ,$,  (174,) , ,$,  947, , ,$,(59,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,,
Credit Default Swaps on Corporate and Sovereign Issues - Sell Protection (3), , ,,,, ,,,
,,,,,,,,
 , , , , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ," Implied CreditSpread at
December 31, 2016 (4)", , ,NotionalAmount (5), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
 BOA, , Brazil Government International Bond, , ,1.000,% , , ,09/20/2019, , , ,1.492,% , ,$,"4,300", , ,$,(70,) , ,$,16, , ,$,0, , ,$,(54,) 
, , Lloyds Bank PLC, , ,1.000, , , ,12/20/2021, , , ,0.685, , ,EUR,"  2,200", , , ,27, , , ,10, , , ,37, , , ,0, 
 BPS, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2017, , , ,0.670, , , ,"1,100", , , ,2, , , ,2, , , ,4, , , ,0, 
 CBK, , Barclays Bank PLC, , ,1.000, , , ,06/20/2021, , , ,0.767, , , ,"1,800", , , ,0, , , ,20, , , ,20, , , ,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , , ,"1,000", , , ,(11,) , , ,12, , , ,1, , , ,0, 
 DUB, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , ,$,"4,700", , , ,(87,) , , ,58, , , ,0, , , ,(29,) 
 MYC, , Barclays Bank PLC, , ,1.000, , , ,06/20/2021, , , ,0.767, , ,EUR, 500, , , ,1, , , ,5, , , ,6, , , ,0, 
, , Brazil Government International Bond, , ,1.000, , , ,03/20/2019, , , ,1.299, , ,$,"1,800", , , ,(42,) , , ,31, , , ,0, , , ,(11,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,, ,,,, ,,,, ,,,, ,,,, ,$,  (180,) , ,$,  154, , ,$,  68, , ,$,  (94,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
