,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA, , ABX.HE.AAA.6-2 Index, , ,0.110,% , , ,05/25/2046, , ,$,320, , ,$,(64,) , ,$,22, , ,$,0, , ,$,(42,) 
, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,600, , , ,49, , , ,31, , , ,80, , , ,0, 
CBK, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,600, , , ,49, , , ,32, , , ,81, , , ,0, 
GST, , CDX.HY-23 5-Year Index 25-35%, , ,5.000, , , ,12/20/2019, , , ,"5,700", , , ,488, , , ,278, , , ,766, , , ,0, 
, , CDX.IG-9 10-Year Index 30-100%, , ,0.548, , , ,12/20/2017, , , ,97, , , ,0, , , ,1, , , ,1, , , ,0, 
JPM, , CDX.IG-9 10-Year Index 30-100%, , ,0.553, , , ,12/20/2017, , , ,193, , , ,0, , , ,1, , , ,1, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,  522, , ,$,  365, , ,$,  929, , ,$,  (42,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
