,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,Fixed Receive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BRC, , ABX.HE.AAA.6-2 Index, , ,0.110,% , , ,05/25/2046, , ,$,"20,016", , ,$,"(4,422",) , ,$,"1,770", , ,$,0, , ,$,"(2,652",) 
CBK, ," MCDX-25 5-Year
Index", , ,1.000, , , ,12/20/2020, , , ,"70,750", , , ,(101,) , , ,"1,343", , , ,"1,242", , , ,0, 
, ," MCDX-26 5-Year
Index", , ,1.000, , , ,06/20/2021, , , ,"185,550", , , ,413, , , ,"2,648", , , ,"3,061", , , ,0, 
DUB, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"413,100", , , ,"(24,212",) , , ,"19,509", , , ,0, , , ,"(4,703",) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"32,200", , , ,"(3,452",) , , ,"1,645", , , ,0, , , ,"(1,807",) 
FBF, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"1,000", , , ,(68,) , , ,57, , , ,0, , , ,(11,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"8,800", , , ,(832,) , , ,338, , , ,0, , , ,(494,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"13,500", , , ,"(1,758",) , , ,"1,000", , , ,0, , , ,(758,) 
GST, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"124,840", , , ,"(5,303",) , , ,"5,267", , , ,0, , , ,(36,) 
, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"18,300", , , ,(823,) , , ,721, , , ,0, , , ,(102,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"272,043", , , ,"(15,021",) , , ,"11,924", , , ,0, , , ,"(3,097",) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"98,100", , , ,"(4,919",) , , ,"2,776", , , ,0, , , ,"(2,143",) 
, ," MCDX-25 5-Year
Index", , ,1.000, , , ,12/20/2020, , , ,"201,800", , , ,(290,) , , ,"3,832", , , ,"3,542", , , ,0, 
, ," MCDX-26 5-Year
Index", , ,1.000, , , ,06/20/2021, , , ,"87,000", , , ,179, , , ,"1,257", , , ,"1,436", , , ,0, 
JPS, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"42,500", , , ,"(1,790",) , , ,"1,554", , , ,0, , , ,(236,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"497,600", , , ,"(29,821",) , , ,"24,156", , , ,0, , , ,"(5,665",) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"7,600", , , ,(313,) , , ,147, , , ,0, , , ,(166,) 
, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"20,300", , , ,"(1,824",) , , ,685, , , ,0, , , ,"(1,139",) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"45,900", , , ,"(5,241",) , , ,"2,665", , , ,0, , , ,"(2,576",) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"15,300", , , ,"(2,875",) , , ,877, , , ,0, , , ,"(1,998",) 
MEI, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"74,000", , , ,"(3,879",) , , ,"3,467", , , ,0, , , ,(412,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"46,900", , , ,"(2,650",) , , ,"2,116", , , ,0, , , ,(534,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"8,200", , , ,(842,) , , ,382, , , ,0, , , ,(460,) 
MYC, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,"9,101", , , ,(63,) , , ,44, , , ,0, , , ,(19,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"57,000", , , ,"(2,868",) , , ,"2,219", , , ,0, , , ,(649,) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"8,400", , , ,(349,) , , ,166, , , ,0, , , ,(183,) 
, , CMBX.NA.BBB-.9 Index, , ,3.000, , , ,09/17/2058, , , ,"10,600", , , ,"(1,845",) , , ,461, , , ,0, , , ,"(1,384",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,$,"(114,969",) , ,$,"93,026", , ,$,"9,281", , ,$,"(31,224",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, , ,$,"  (131,286",) , ,$,"  102,851", , ,$,"  18,262", , ,$,"  (46,697",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
